2024-10-30 at 10:31:23 | INFO | Вкладка 'СБИС Плагин' выбрана корректно
2024-10-30 at 10:31:23 | INFO | Выбрана вкладка 'Windows' для скачивания приложения
2024-10-30 at 10:31:23 | INFO | Выбрана вкладка 'Windows' для скачивания приложения
2024-10-30 at 10:31:32 | INFO | Скачивание приложения для Windows завершено
2024-10-30 at 10:31:32 | INFO | Скачивание приложения для Windows завершено
2024-10-30 at 10:31:32 | INFO | Размер файла приложения должен быть 11.48 МБ
2024-10-30 at 10:31:32 | INFO | Размер файла приложения должен быть 11.48 МБ
2024-10-30 at 10:31:32 | INFO | Размер скачанного файла приложения соответствует ожидаемому
2024-10-30 at 10:31:32 | INFO | Размер скачанного файла приложения соответствует ожидаемому
2024-10-30 at 10:31:33 | INFO | Скачанный файл был удалён
2024-10-30 at 10:31:33 | INFO | Скачанный файл был удалён
2024-10-30 at 10:31:50 | INFO | Переход на страницу скачивания приложения SBIS
2024-10-30 at 10:31:50 | INFO | Переход на страницу скачивания приложения SBIS
2024-10-30 at 10:31:50 | INFO | Вкладка 'СБИС Плагин' выбрана корректно
2024-10-30 at 10:31:50 | INFO | Вкладка 'СБИС Плагин' выбрана корректно
2024-10-30 at 10:31:50 | INFO | Выбрана вкладка 'Windows' для скачивания приложения
2024-10-30 at 10:31:50 | INFO | Выбрана вкладка 'Windows' для скачивания приложения
2024-10-30 at 10:31:54 | INFO | Скачивание приложения для Windows завершено
2024-10-30 at 10:31:54 | INFO | Скачивание приложения для Windows завершено
2024-10-30 at 10:31:54 | INFO | Размер файла приложения должен быть 11.48 МБ
2024-10-30 at 10:31:54 | INFO | Размер файла приложения должен быть 11.48 МБ
2024-10-30 at 10:31:54 | INFO | Размер скачанного файла приложения соответствует ожидаемому
2024-10-30 at 10:31:54 | INFO | Размер скачанного файла приложения соответствует ожидаемому
2024-10-30 at 10:31:55 | INFO | Скачанный файл был удалён
2024-10-30 at 10:31:55 | INFO | Скачанный файл был удалён
2024-10-30 at 10:32:07 | INFO | Переход на страницу скачивания приложения SBIS
2024-10-30 at 10:32:07 | INFO | Переход на страницу скачивания приложения SBIS
2024-10-30 at 10:32:07 | INFO | Переход на страницу скачивания приложения SBIS
2024-10-30 at 10:32:07 | INFO | Вкладка 'СБИС Плагин' выбрана корректно
2024-10-30 at 10:32:07 | INFO | Вкладка 'СБИС Плагин' выбрана корректно
2024-10-30 at 10:32:07 | INFO | Вкладка 'СБИС Плагин' выбрана корректно
2024-10-30 at 10:32:07 | INFO | Выбрана вкладка 'Windows' для скачивания приложения
2024-10-30 at 10:32:07 | INFO | Выбрана вкладка 'Windows' для скачивания приложения
2024-10-30 at 10:32:07 | INFO | Выбрана вкладка 'Windows' для скачивания приложения
2024-10-30 at 10:32:12 | INFO | Скачивание приложения для Windows завершено
2024-10-30 at 10:32:12 | INFO | Скачивание приложения для Windows завершено
2024-10-30 at 10:32:12 | INFO | Скачивание приложения для Windows завершено
2024-10-30 at 10:32:12 | INFO | Размер файла приложения должен быть 11.48 МБ
2024-10-30 at 10:32:12 | INFO | Размер файла приложения должен быть 11.48 МБ
2024-10-30 at 10:32:12 | INFO | Размер файла приложения должен быть 11.48 МБ
2024-10-30 at 10:32:12 | INFO | Размер скачанного файла приложения соответствует ожидаемому
2024-10-30 at 10:32:12 | INFO | Размер скачанного файла приложения соответствует ожидаемому
2024-10-30 at 10:32:12 | INFO | Размер скачанного файла приложения соответствует ожидаемому
2024-10-30 at 10:32:13 | INFO | Скачанный файл был удалён
2024-10-30 at 10:32:13 | INFO | Скачанный файл был удалён
2024-10-30 at 10:32:13 | INFO | Скачанный файл был удалён
2024-10-30 at 11:55:13 | INFO | Открытие модального окна контактов
2024-10-30 at 11:55:13 | INFO | Ожидание появления модального окна контактов
2024-10-30 at 11:55:13 | INFO | Переход на страницу контактов
2024-10-30 at 11:55:14 | INFO | Успешный переход на страницу контактов
2024-10-30 at 11:55:15 | INFO | Успешный клик на баннер Тензор.
2024-10-30 at 11:55:16 | INFO | Блок 'Сила в людях' присутствует на главной странице Тензор
2024-10-30 at 11:55:17 | INFO | Клик по ссылке 'Подробнее' в блоке Сила в людях
2024-10-30 at 11:55:17 | INFO | Переход на страницу Тензор 'Подробнее' выполнен корректно
2024-10-30 at 11:55:18 | INFO | Проверка всех фотографий в блоке 'Работа в Тензоре' на соответствие размеру
2024-10-30 at 11:55:18 | INFO | Все фотографии в блоке 'Работа в Тензоре' соответствуют размеру
2024-10-30 at 11:55:28 | INFO | Открытие модального окна контактов
2024-10-30 at 11:55:28 | INFO | Ожидание появления модального окна контактов
2024-10-30 at 11:55:29 | INFO | Переход на страницу контактов
2024-10-30 at 11:55:30 | INFO | Успешный переход на страницу контактов
2024-10-30 at 11:55:30 | INFO | Проверка на соответствие региону, который определился автоматически
2024-10-30 at 11:55:30 | INFO | Регион определился корректно: Республика Башкортостан
2024-10-30 at 11:55:30 | INFO | Список партнеров присутствует на странице Контакты
2024-10-30 at 11:55:30 | INFO | Город Уфа присутствует в списке партнеров
2024-10-30 at 11:55:31 | INFO | Регион успешно изменен на '41 Камчатский край'
2024-10-30 at 11:55:31 | INFO | URL успешно изменён и содержит текст '41-kamchatskij-kraj'
2024-10-30 at 11:55:31 | INFO | Список партнеров успешно изменён. Теперь в списке партнеров город Петропавловск-Камчатский
2024-10-30 at 11:55:45 | INFO | Открытие модального окна контактов
2024-10-30 at 11:55:45 | INFO | Ожидание появления модального окна контактов
2024-10-30 at 11:55:45 | INFO | Переход на страницу контактов
2024-10-30 at 11:55:47 | INFO | Успешный переход на страницу контактов
2024-10-30 at 11:55:47 | INFO | Проверка на соответствие региону, который определился автоматически
2024-10-30 at 11:55:47 | INFO | Регион определился корректно: Республика Башкортостан
2024-10-30 at 11:55:47 | INFO | Список партнеров присутствует на странице Контакты
2024-10-30 at 11:55:47 | INFO | Город Уфа присутствует в списке партнеров
2024-10-30 at 11:55:48 | INFO | Регион успешно изменен на '41 Камчатский край'
2024-10-30 at 11:55:48 | INFO | URL успешно изменён и содержит текст '41-kamchatskij-kraj'
2024-10-30 at 11:55:48 | INFO | Список партнеров успешно изменён. Теперь в списке партнеров город Петропавловск-Камчатский
2024-10-30 at 11:55:59 | INFO | Открытие модального окна контактов
2024-10-30 at 11:55:59 | INFO | Открытие модального окна контактов
2024-10-30 at 11:55:59 | INFO | Ожидание появления модального окна контактов
2024-10-30 at 11:55:59 | INFO | Ожидание появления модального окна контактов
2024-10-30 at 11:56:00 | INFO | Переход на страницу контактов
2024-10-30 at 11:56:00 | INFO | Переход на страницу контактов
